Unit,Latitude_WGS84,Longitude_WGS84,Authorship,Area_Toponym,Dom_Veg_Height,Percent_Vis,Farm,Soil,Background_Dist,Sherd_Crusting,Surf_Clast_Size,Quantity,Bone_Shell,Glass,Metal,Other,Pottery,Stone_Lithics,Terra_Cotta,Prehistoric,Class_Hellen,Roman,Late_Roman,Medieval
Unit 1,34.98180989,33.70600098,David K. Pettegrew,Koutsopetria/Paleokastro,<= knee,40,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),44,0,2,0,1,40,1,0,0,0,2,23,1
Unit 2,34.98180736,33.70643919,David K. Pettegrew,Koutsopetria/Paleokastro,<= ankle,40,Plowed,Compacted,Moderate,Light,Coarse Gravel (75-19mm),64,0,2,0,0,58,4,0,0,0,1,34,1
Unit 3,34.98180484,33.70687741,David K. Pettegrew,Koutsopetria/Paleokastro,<= ankle,40,,,,,,59,0,1,0,1,55,2,0,0,0,9,26,0
Unit 4,34.98180231,33.70731563,David K. Pettegrew,Koutsopetria/Paleokastro,<= ankle,40,Plowed,Compacted,Moderate,Heavy,Coarse Gravel (75-19mm),57,0,1,0,3,51,2,0,0,1,3,26,0
Unit 5,34.98179978,33.70775385,David K. Pettegrew,Koutsopetria/Paleokastro,<= ankle,40,Plowed,Compacted,Moderate,Light,Coarse Gravel (75-19mm),65,0,0,0,2,61,2,0,0,0,5,31,1
Unit 6,34.98216298,33.7073187,David K. Pettegrew,Koutsopetria/Paleokastro,<= knee,40,Plowed,Compacted,Moderate,Light,Coarse Gravel (75-19mm),83,0,0,0,3,79,1,0,0,0,10,31,2
Unit 7,34.98216551,33.70688048,David K. Pettegrew,Koutsopetria/Paleokastro,<= knee,30,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),59,0,0,0,1,55,3,0,0,2,3,25,1
Unit 8,34.98216803,33.70644251,David K. Pettegrew,Koutsopetria/Paleokastro,<= knee,40,Plowed,Compacted,Moderate,None,Coarse Gravel (75-19mm),72,0,0,0,0,70,2,0,0,1,9,30,5
Unit 9,34.98217056,33.70600404,David K. Pettegrew,Koutsopetria/Paleokastro,<= ankle,40,Plowed,Compacted,Moderate,Light,Fine Gravel (19-5mm),95,0,0,0,2,91,2,0,0,0,21,52,1
Unit 10,34.98144669,33.70643613,William R. Caraher,Koutsopetria/Paleokastro,<= ankle,40,Plowed,Compacted,Moderate,Light,Coarse Gravel (75-19mm),42,0,0,0,1,41,0,0,0,1,1,23,2
Unit 11,34.98144417,33.70687434,William R. Caraher,Koutsopetria/Paleokastro,<= ankle,50,Plowed,Compacted,Light,Light,Coarse Gravel (75-19mm),78,0,0,0,3,73,2,0,0,0,1,31,1
